K00001,alcohol dehydrogenase [EC:1.1.1.1]
K12906,D-3-phosphoglycerate dehydrogenase
K12907,aldehyde dehydrogenase
K12908,phosphonoformate cytidylyltransferase [EC:2.7.7.93]
K12909,carboxyvinyl-carboxyphosphonate phosphorylmutase [EC:2.7.8.23]
K12910,2-phosphinomethylmalate synthase [EC:2.3.3.18]
K12911,phosphinothricin tripeptide synthetase PhsA
K12912,phosphinothricin tripeptide synthetase phsB [EC:6.2.1.67]
K12913,phosphinothricin tripeptide synthetase PhsC
K12914,P-methyltransferase [EC:2.1.1.326]
K12915,phosphinothricin tripeptide acetyl hydrolase
K12917,cytochrome P450 monooxygenase 1
K12918,cytochrome P450 monooxygenase 2
K12919,cytochrome P450 monooxygenase 3
K12920,GA4 desaturase
K12921,taxadiene synthase [EC:4.2.3.17]
K12922,taxane 13alpha-hydroxylase [EC:1.14.14.106]
K12923,taxadien-5alpha-ol O-acetyltransferase [EC:2.3.1.162]
K12924,taxane 10beta-hydroxylase [EC:1.14.14.105]
K12925,2alpha-hydroxytaxane 2-O-benzoyltransferase [EC:2.3.1.166]
K12926,10-deacetylbaccatin III 10-O-acetyltransferase [EC:2.3.1.167]
K12927,abietadiene/neoabietadiene/copalyl diphosphate synthase [EC:4.2.3.18 4.2.3.132 5.5.1.12]
K12928,aphidicolan-16beta-ol synthase/syn-copalyl-diphosphate synthase [EC:4.2.3.42 5.5.1.14]
K12929,casbene synthase [EC:4.2.3.8]
K12930,anthocyanidin 3-O-glucosyltransferase [EC:2.4.1.115]
K12931,anthocyanin 3-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.171]
K12932,"anthocyanidin 3-O-glucoside-3'',6''-O-dimalonyltransferase [EC:2.3.1.-]"
K12933,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase [EC:2.4.1.297]
K12934,anthocyanin 5-O-glucoside-6'''-O-malonyltransferase [EC:2.3.1.172]
K12935,anthocyanin 5-O-glucoside-4'''-O-malonyltransferase [EC:2.3.1.214]
K12936,anthocyanin 5-aromatic acyltransferase [EC:2.3.1.153]
K12937,cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase [EC:2.4.1.254]
K12938,"anthocyanidin 5,3-O-glucosyltransferase [EC:2.4.1.-]"
K12939,anthocyanin 3'-O-beta-glucosyltransferase [EC:2.4.1.238]
K12957,alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
K12960,5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
K12972,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K12973,lipid IVA palmitoyltransferase [EC:2.3.1.251]
K12974,KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242]
K12975,KDO II ethanolaminephosphotransferase [EC:2.7.8.42]
K12976,lipid A 3-O-deacylase [EC:3.1.1.-]
K12977,lipid A 1-phosphatase [EC:3.1.3.-]
K12979,beta-hydroxylase [EC:1.14.11.-]
K13010,perosamine synthetase [EC:2.6.1.102]
K13014,undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]
K13015,UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]
K13016,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]
K13017,UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]
K13018,"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"
K13019,UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]
K13020,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]
K13024,inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]
K13027,tyrosine N-monooxygenase [EC:1.14.14.36]
K13028,aliphatic aldoxime dehydratase [EC:4.8.1.2]
K13029,4-hydroxyphenylacetaldehyde oxime monooxygenase [EC:1.14.14.37]
K13030,cyanohydrin beta-glucosyltransferase [EC:2.4.1.85]
K13031,amygdalin beta-glucosidase [EC:3.2.1.117]
K13032,prunasin beta-glucosidase [EC:3.2.1.118]
K13033,(S)-hydroxynitrile lyase [EC:4.1.2.47]
K13034,L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]
K13035,beta-cyano-L-alanine hydratase/nitrilase [EC:3.5.5.4 4.2.1.65]
K13037,L-alanine-L-anticapsin ligase [EC:6.3.2.49]
K13038,phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
K13039,sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]
K13042,dimethylglycine N-methyltransferase [EC:2.1.1.161]
K13043,N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]
K13051,L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
K13057,trehalose synthase [EC:2.4.1.245]
K13058,mannosylfructose-phosphate synthase [EC:2.4.1.246]
K13059,N-acetylhexosamine 1-kinase [EC:2.7.1.162]
K13060,acyl homoserine lactone synthase [EC:2.3.1.184]
K13061,acyl homoserine lactone synthase [EC:2.3.1.184]
K13062,acyl homoserine lactone synthase [EC:2.3.1.184]
K13063,2-amino-4-deoxychorismate synthase [EC:2.6.1.86]
K13064,phenylalanine/tyrosine ammonia-lyase [EC:4.3.1.25]
K13065,shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]
K13066,caffeic acid 3-O-methyltransferase / acetylserotonin O-methyltransferase [EC:2.1.1.68 2.1.1.4]
K13067,putative caffeoyl-CoA 3-O-methyltransferase [EC:2.1.1.-]
K13068,sinapate 1-glucosyltransferase [EC:2.4.1.120]
K13069,diguanylate cyclase [EC:2.7.7.65]
K13070,momilactone-A synthase [EC:1.1.1.295]
K13071,pheophorbide a oxygenase [EC:1.14.15.17]
K13074,biflaviolin synthase [EC:1.14.19.69]
K13075,N-acyl homoserine lactone hydrolase [EC:3.1.1.81]
K13077,flavone synthase I [EC:1.14.20.5]
K13078,chalcononaringenin 2'-O-glucosyltransferase [EC:2.4.1.-]
K13079,aureusidin synthase [EC:1.21.3.6]
K13080,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase [EC:2.4.1.236]
K13081,leucoanthocyanidin reductase [EC:1.17.1.3]
K13082,bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase [EC:1.1.1.219 1.1.1.234]
K13083,"flavonoid 3',5'-hydroxylase [EC:1.14.14.81]"
K13084,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]"
K13085,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]"
K13086,mannosylfructose-6-phosphate phosphatase [EC:3.1.3.79]
K13097,methylcytosine dioxygenase [EC:1.14.11.80]
K13222,indole-3-glycerol-phosphate lyase [EC:4.1.2.8]
K13223,indole-2-monooxygenase [EC:1.14.14.153]
K13224,indolin-2-one monooxygenase [EC:1.14.14.157]
K13225,3-hydroxyindolin-2-one monooxygenase [EC:1.14.14.109]
K13226,"2-hydroxy-1,4-benzoxazin-3-one monooxygenase [EC:1.14.14.110]"
K13227,UDP-glucosyltransferase BX8/BX9 [EC:2.4.1.202]
K13229,"2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase [EC:1.14.11.59]"
K13230,"2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase [EC:2.1.1.241]"
K13231,pinosylvin synthase [EC:2.3.1.146]
K13232,stilbene synthase [EC:2.3.1.95]
K13233,phenylpropanoylacetyl-CoA synthase [EC:2.3.1.218]
K13234,curcumin synthase [EC:2.3.1.217]
K13235,UDP-glucose glucosyltransferase [EC:2.4.1.-]
K13238,Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13239,Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13240,"nitric-oxide synthase, brain [EC:1.14.13.39]"
K13241,"nitric-oxide synthase, inducible [EC:1.14.13.39]"
K13242,"nitric-oxide synthase, endothelial [EC:1.14.13.39]"
K13243,c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13244,c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13245,c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13246,c-di-GMP phosphodiesterase [EC:3.1.4.52]
K13247,L-gulonate 3-dehydrogenase [EC:1.1.1.45]
K13248,pyridoxal phosphate phosphatase PHOSPHO2 [EC:3.1.3.74]
K13257,2-hydroxyisoflavanone synthase [EC:1.14.14.87]
K13258,2-hydroxyisoflavanone dehydratase [EC:4.2.1.105]
K13259,"2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase / isoflavone 4'-O-methyltransferase [EC:2.1.1.212 2.1.1.46]"
K13260,isoflavone/4'-methoxyisoflavone 2'-hydroxylase [EC:1.14.14.90 1.14.14.89]
K13261,"3,9-dihydroxypterocarpan 6a-monooxygenase [EC:1.14.14.93]"
K13262,isoflavone-7-O-methyltransferase [EC:2.1.1.150]
K13263,isoflavone 7-O-glucosyltransferase [EC:2.4.1.170]
K13264,isoflavone 7-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.115]
K13265,vestitone reductase [EC:1.1.1.348]
K13266,pterocarpan reductase [EC:1.23.1.-]
K13267,flavonoid 6-hydroxylase [EC:1.14.13.-]
K13269,kaempferol 3-O-beta-D-galactosyltransferase [EC:2.4.1.234]
K13270,flavonol 3-sulfotransferase [EC:2.8.2.25]
K13271,flavonol 4'-sulfotransferase [EC:2.8.2.27]
K13272,flavonoid O-methyltransferase [EC:2.1.1.267]
K13273,phosphomevalonate kinase [EC:2.7.4.2]
K13282,cyanophycinase [EC:3.4.15.6]
K13290,serine---pyruvate transaminase [EC:2.6.1.51]
K13293,cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]
K13294,cAMP-specific phosphodiesterase [EC:3.1.4.53]
K13296,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B [EC:3.1.4.17]"
K13298,"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17 3.1.4.35]"
K13299,glutathione S-transferase kappa 1 [EC:2.5.1.18]
K13306,dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
K13307,"dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.235]"
K13308,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]"
K13309,"dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase [EC:4.3.1.30]"
K13310,"dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase [EC:2.6.1.106]"
K13311,"dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.234]"
K13312,dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase [EC:5.1.3.27]
K13313,dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
K13315,"NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase [EC:1.1.1.-]"
K13316,NDP-hexose 5-epimerase [EC:5.1.3.-]
K13317,"NDP-4-keto-2,6-dideoxyhexose 3-C-methyltransferase [EC:2.1.1.-]"
K13318,dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]
K13319,4-ketoreductase
K13320,L-olivosyl-oleandolide 3-O-methyltransferase [EC:2.1.1.239]
K13322,dTDP-4-keto-6-deoxyhexose 4-ketoreductase
K13326,"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.- 2.1.1.234]"
K13327,"dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]"
K13328,"dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase [EC:4.2.1.164]"
K13329,"dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase [EC:2.6.1.110]"
K13330,"dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase [EC:2.1.1.324]"
K13332,"N,N-dimethyltransferase"
K13356,alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
K13366,polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]
K13367,polyamine oxidase [EC:1.5.3.17]
K13368,17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]
K13369,17beta-estradiol 17-dehydrogenase / all-trans-retinol dehydrogenase (NAD+) / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.105 1.1.1.239]
K13370,17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit [EC:1.1.1.62 1.1.1.239]
K13371,aralkylamine dehydrogenase light chain [EC:1.4.9.2]
K13372,aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
K13373,17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]
K13378,NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
K13379,reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]
K13380,NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
K13381,bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]
K13382,(S)-norcoclaurine synthase [EC:3.5.99.14]
K13383,(RS)-norcoclaurine 6-O-methyltransferase [EC:2.1.1.128]
K13384,"(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase [EC:2.1.1.115 2.1.1.140]"
K13385,N-methylcoclaurine 3'-monooxygenase [EC:1.14.14.102]
K13386,3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase [EC:2.1.1.116]
K13387,berbamunine synthase [EC:1.14.19.66]
K13389,(S)-corytuberine synthase [EC:1.14.19.51]
K13390,"(R,S)-reticuline 7-O-methyltransferase [EC:2.1.1.291]"
K13391,salutaridine synthase [EC:1.14.19.67]
K13392,salutaridine reductase (NADPH) [EC:1.1.1.248]
K13393,salutaridinol 7-O-acetyltransferase [EC:2.3.1.150]
K13394,codeinone reductase [EC:1.1.1.247]
K13395,(S)-stylopine/(S)-canadine/(S)-nandinine synthase [EC:1.14.19.64 1.14.19.68 1.14.19.73]
K13396,(S)-tetrahydroprotoberberine N-methyltransferase [EC:2.1.1.122]
K13397,(S)-scoulerine 9-O-methyltransferase [EC:2.1.1.117]
K13398,columbamine O-methyltransferase [EC:2.1.1.118]
K13400,secologanin synthase [EC:1.14.19.62]
K13401,valine N-monooxygenase [EC:1.14.14.38]
K13402,"monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]"
K13403,"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]"
K13407,fatty acid omega-hydroxylase [EC:1.14.-.-]
K13421,uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
K13427,"nitric-oxide synthase, plant [EC:1.14.13.39]"
K13479,xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K13480,xanthine dehydrogenase iron-sulfur-binding subunit
K13481,xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482,xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13483,xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13484,5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
K13485,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K13492,zeatin O-glucosyltransferase [EC:2.4.1.203]
K13493,cytokinin-N-glucosyltransferase [EC:2.4.1.-]
K13494,zeatin O-xylosyltransferase [EC:2.4.2.40]
K13495,cis-zeatin O-glucosyltransferase [EC:2.4.1.215]
K13496,UDP-glucosyltransferase 73C [EC:2.4.1.-]
K13497,anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13498,indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13499,chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226]
K13500,chondroitin synthase [EC:2.4.1.175 2.4.1.226]
K13501,anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K13503,anthranilate synthase [EC:4.1.3.27]
K13506,glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]
K13507,glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]
K13508,glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
K13509,lysophosphatidate acyltransferase [EC:2.3.1.51]
K13510,lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]
K13511,monolysocardiolipin acyltransferase [EC:2.3.1.-]
K13512,lysophospholipid acyltransferase [EC:2.3.1.23 2.3.1.-]
K13513,lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
K13514,lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
K13515,lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]
K13516,lysophospholipid acyltransferase 7 [EC:2.3.1.-]
K13517,lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
K13519,lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]
K13522,bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]
K13523,lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]
K13524,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K13534,patatin-like phospholipase domain-containing protein 3 [EC:3.1.1.3 2.3.1.-]
K13535,cardiolipin-specific phospholipase [EC:3.1.1.-]
K13540,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]
K13541,cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.272 2.1.1.131]
K13542,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
K13543,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
K13544,pheophorbidase [EC:3.1.1.82]
K13545,red chlorophyll catabolite reductase [EC:1.3.7.12]
K13546,2-deoxy-scyllo-inosose synthase [EC:4.2.3.124]
K13547,"L-glutamine:2-deoxy-scyllo-inosose/3-amino-2,3-dideoxy-scyllo-inosose aminotransferase [EC:2.6.1.100 2.6.1.101]"
K13548,2-deoxy-scyllo-inosamine dehydrogenase [EC:1.1.1.329]
K13549,2-deoxy-scyllo-inosamine dehydrogenase (SAM-dependent) [EC:1.1.99.38]
K13550,2-deoxystreptamine N-acetyl-D-glucosaminyltransferase / 2-deoxystreptamine glucosyltransferase [EC:2.4.1.283 2.4.1.284]
K13551,2'-N-acetylparomamine deacetylase [EC:3.5.1.112]
K13552,paromamine 6'-oxidase [EC:1.1.3.43]
K13553,neamine transaminase [EC:2.6.1.93]
K13554,neamine phosphoribosyltransferase [EC:2.4.2.49]
K13555,5''-phosphoribostamycin phosphatase [EC:3.1.3.88]
K13556,UDP-N-acetyl-D-glucosamine:ribostamycin N-acetyl-D-glucosaminyltransferase [EC:2.4.1.285]
K13557,neomycin C epimerase [EC:5.1.3.-]
K13559,[BtrI acyl-carrier protein]--L-glutamate ligase [EC:6.2.1.39]
K13560,L-glutamyl-[BtrI acyl-carrier protein] decarboxylase [EC:4.1.1.95]
K13561,4-(gamma-L-glutamylamino)butanoyl-[BtrI acyl-carrier protein] monooxygenase [EC:1.14.14.13]
K13562,NAD(P)H:FMN oxidoreductase [EC:1.5.1.-]
K13563,ribostamycin:4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoyl-[BtrI acyl-carrier protein] 4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoate transferase [EC:2.3.2.19]
K13564,gamma-L-glutamyl-butirosin B gamma-L-glutamyl cyclotransferase [EC:4.3.2.6]
K13565,4-hydroxybenzoate geranyltransferase [EC:2.5.1.93]
K13566,omega-amidase [EC:3.5.1.3]
K13571,proteasome accessory factor A [EC:6.3.1.19]
K13574,hydroxycarboxylate dehydrogenase B [EC:1.1.1.237 1.1.1.-]
K13600,chlorophyllide a oxygenase [EC:1.14.13.122]
K13601,bacteriochlorophyllide d C-8(2)-methyltransferase [EC:2.1.1.332]
K13602,bacteriochlorophyllide d C-12(1)-methyltransferase [EC:2.1.1.331]
K13603,3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]
K13604,bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]
K13605,bacteriochlorophyll c synthase [EC:2.5.1.-]
K13606,chlorophyll(ide) b reductase [EC:1.1.1.294]
K13607,cinnamoyl-CoA:phenyllactate CoA-transferase [EC:2.8.3.17]
K13608,senecionine N-oxygenase [EC:1.14.13.101]
K13609,delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]
K13610,13-hydroxylupinine O-tigloyltransferase [EC:2.3.1.93]
K13618,phosphatidylserine sn-1 acylhydrolase [EC:3.1.1.111]
K13621,betaine lipid synthase
K13622,S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase
K13623,S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
K13624,ceruloplasmin [EC:1.16.3.1]
K13625,ferritin light chain
K13644,choline/ethanolamine phosphotransferase [EC:2.7.8.1 2.7.8.2]
K13645,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [EC:1.14.11.4]"
K13646,lysyl hydroxylase/galactosyltransferase/glucosyltransferase [EC:1.14.11.4 2.4.1.50 2.4.1.66]
K13647,"procollagen-lysine,2-oxoglutarate 5-dioxygenase, invertebrate [EC:1.14.11.4]"
K13648,"alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]"
K13656,undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]
K13657,"alpha-1,3-mannosyltransferase [EC:2.4.1.252]"
K13658,"beta-1,4-mannosyltransferase [EC:2.4.1.251]"
K13659,2-beta-glucuronyltransferase [EC:2.4.1.264]
K13668,phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]
K13677,"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]"
K13678,"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]"
K13679,granule-bound starch synthase [EC:2.4.1.242]
K13699,abhydrolase domain-containing protein 5 [EC:2.3.1.51]
K13700,abhydrolase domain-containing protein 6 [EC:3.1.1.23]
K13704,abhydrolase domain-containing protein 12 [EC:3.1.1.23]
K13711,phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
K13712,phosphatidylinositol-4-phosphate 5-kinase-like protein 1 [EC:2.7.1.68]
K13713,fusion protein PurCD [EC:6.3.2.6 6.3.4.13]
K13727,phenacrylate decarboxylase [EC:4.1.1.102]
K13745,"L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]"
K13746,carboxynorspermidine synthase [EC:1.5.1.43]
K13747,carboxynorspermidine decarboxylase [EC:4.1.1.96]
K13755,"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
K13756,"rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]"
K13757,"cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]"
K13758,"retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"
K13759,"retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
K13760,"retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
K13761,"high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]"
K13762,"cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]"
K13763,"cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]"
K13766,methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13767,enoyl-CoA hydratase [EC:4.2.1.17]
K13774,citronellol/citronellal dehydrogenase
K13775,citronellol/citronellal dehydrogenase
K13776,citronellyl-CoA synthetase [EC:6.2.1.-]
K13777,geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
K13778,geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K13779,isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13786,"cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]"
K13787,"geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13788,phosphate acetyltransferase [EC:2.3.1.8]
K13789,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13799,pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]
K13800,UMP-CMP kinase [EC:2.7.4.14]
K13809,"UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]"
K13810,transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K13811,3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
K13812,bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
K13818,molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]
K13821,"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
K13829,shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
K13830,pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]
K13831,3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
K13832,3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]
K13853,3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]
K13873,L-arabinose 1-dehydrogenase [EC:1.1.1.376]
K13874,L-arabinonolactonase [EC:3.1.1.15]
K13875,L-arabonate dehydrase [EC:4.2.1.25]
K13876,2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
K13877,"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"
K13917,mRNA-capping enzyme [EC:2.7.7.50 3.6.1.74]
K13919,propanediol dehydratase medium subunit [EC:4.2.1.28]
K13920,propanediol dehydratase small subunit [EC:4.2.1.28]
K13921,1-propanol dehydrogenase
K13922,propionaldehyde dehydrogenase [EC:1.2.1.87]
K13923,phosphate propanoyltransferase [EC:2.3.1.222]
