id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark
R04699,1 C00007 + 1 C03024 + 1 C05189 <=> 1 C00001 + 1 C03161 + 1 C05190,1.14.14.98,M00945,K21693,rn00950 rn01100 rn01110,RC01203__C05189_C05190, 22647,,"protopine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6-hydroxylating)",,
R04700,1 C00007 + 1 C03024 + 1 C06163 <=> 1 C00001 + 1 C03161 + 1 C05189,1.14.14.97,M00945,K21692,rn00950 rn01100 rn01110,RC01007__C05189_C06163,,,"(S)-cis-N-methylstylopine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (14-hydroxylating)",,
R04701,1 C05190 <=> 2 C00001 + 1 C05191,,M00945,,rn00950 rn01100 rn01110,RC01954__C05190_C05191,,spontaneous,,,
R04702,1 C00007 + 1 C03024 + 1 C05191 <=> 1 C00001 + 1 C03161 + 1 C05247,1.14.14.100,,,rn00950 rn01100 rn01110,RC00046__C05191_C05247, 10531,,"dihydrosanguinarine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating)",,
R04703,1 C00007 + 1 C00080 + 1 C05191 <=> 1 C00027 + 1 C06162,1.3.3.8 1.5.3.12,M00945,K22089,rn00950 rn01100 rn01110,RC01204__C05191_C06162 RC02755__C00007_C00027, 16624,,dihydrosanguinarine:oxygen oxidoreductase,,
R04705,1 C00019 + 1 C05193 <=> 1 C00021 + 1 C00080 + 1 C05316,2.1.1.120,,,rn00950 rn01100 rn01110,RC00003__C00019_C00021 RC00392__C05193_C05316, 21095,,S-adenosyl-L-methionine:12-hydroxydihydrochelirubine 12-O-methyltransferase,,
R04706,1 C00007 + 1 C00080 + 1 C05194 <=> 1 C00027 + 1 C06327,1.5.3.12,,,rn00950,RC01204__C05194_C06327 RC02755__C00007_C00027, 18576,,dihydrochelirubine:oxygen oxidoreductase,,
R04707,1 C00019 + 1 C05247 <=> 1 C00021 + 1 C00080 + 1 C05194,2.1.1.119,,,rn00950 rn01100 rn01110,RC00003__C00019_C00021 RC00392__C05194_C05247, 18544,,S-adenosyl-L-methionine:10-hydroxydihydrosanguinarine 10-O-methyltransferase,,
R04708,1 C00007 + 1 C03024 + 1 C05194 <=> 1 C00001 + 1 C03161 + 1 C05193,1.14.14.101,,,rn00950 rn01100 rn01110,RC00046__C05193_C05194, 10159,,"dihydrochelirubine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12-hydroxylating)",,
R04709,3 C00083 + 1 C05195 <=> 4 C00010 + 3 C00011 + 1 C06355,2.3.1.151,,,,RC00004__C00010_C00083, 19308,,malonyl-CoA:3-hydroxybenzoyl-CoA malonyltransferase,,
R04710,1 C00019 + 1 C05196 + 1 C05197 <=> 1 C00073 + 1 C05198 + 1 C05199 + 1 C05312,1.97.1.4,,K04068 K04069,,RC00021__C00019_C00073, 19228,,"protein-glycine,dihydroflavodoxin:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)",,
R04711,1 C00019 + 1 C05200 <=> 1 C00021 + 1 C00080 + 1 C05313,2.1.1.114,,K00591,,RC00003__C00019_C00021 RC00392__C05200_C05313, 14124,Coq3,"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase",,
R04713,1 C00019 + 1 C05201 <=> 1 C00021 + 1 C00080 + 1 C05314,2.1.1.115,,,,RC00003__C00019_C00021 RC01198__C05201_C05314, 13008,,"S-adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase",,
R04714,1 C00019 + 1 C05203 <=> 1 C00021 + 1 C00080 + 1 C05317,2.1.1.121,,,,RC00003__C00019_C00021 RC00392__C05203_C05317, 11895,,S-adenosyl-L-methionine:6-O-methylnorlaudanosoline 5'-O-methyltransferase,,
R04715,1 C00019 + 1 C06350 <=> 1 C00021 + 1 C00080 + 1 C05203,2.1.1.128,,,,RC00003__C00019_C00021 RC00392__C05203_C06350,,,S-adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase,,
R04716,1 C00019 + 1 C22684 <=> 1 C00021 + 1 C05318,2.1.1.122,,,,RC00003__C00019_C00021 RC01197__C05318_C22684,,,"S-adenosyl-L-methionine:(S)-7,8,13,14-tetrahydroprotoberberine cis-N-methyltransferase",,
R04717,1 C00019 + 1 C05205 <=> 1 C00021 + 1 C05319,2.1.1.123,,,,RC00003__C00019_C00021 RC00347__C05205_C05319,,,S-adenosyl-L-methionine:[cytochrome c]-methionine S-methyltransferase,,
R04718,1 C00019 + 1 C05206 <=> 1 C00021 + 1 C05320,,,,,RC00003__C00019_C00021 RC02120__C05206_C05320, 48103,,,,
R04719,1 C00019 + 1 C05207 <=> 1 C00021 + 1 C05321,,,,,RC00003__C00019_C00021 RC02120__C05207_C05321, 48103,,,,
R04720,1 C05208 + 1 C05209 <=> 1 C04317 + 1 C05210,2.3.1.147,,,,RC00037__C04317_C05208, 15412,,1-organyl-2-arachidonyl-sn-glycero-3-phosphocholine:1-organyl-2-lyso-sn-glycero-3-phosphoethanolamine arachidonoyltransferase (CoA-independent),,
R04721,1 C05209 + 1 C05212 <=> 1 C04317 + 1 C04475,2.3.1.148,,,,RC00037__C04317_C05212, 20975,,1-organyl-2-acyl-sn-glycero-3-phosphocholine:1-organyl-2-lyso-sn-glycero-3-phosphoethanolamine acyltransferase (CoA-dependent),,
R04722,1 C04598 + 1 C05217 <=> 1 C04317 + 1 C05218,2.3.1.149,,,,RC00037__C04317_C04598, 11051,,1-alkyl-2-acyl-sn-glycero-3-phosphocholine:1-organyl-2-lyso-sn-glycero-3-phospholipid acetyltransferase,,
R04723,1 C00024 + 1 C05220 <=> 1 C00010 + 1 C05322,2.3.1.150,M00944,K13393,rn00950 rn01100 rn01110,RC00004__C00010_C00024 RC00055__C05220_C05322, 22859,,acetyl-CoA:salutaridinol 7-O-acetyltransferase,,
R04724,1 C00003 + 1 C05223 <=> 1 C00004 + 1 C00080 + 1 C05758,1.3.1.9 2.3.1.-,M00083,K00208 K00209 K02371 K11533,rn00061 rn01100 rn01212,RC00001__C00003_C00004 RC00052__C05223_C05758,,,dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase,,
R04725,1 C00006 + 1 C05223 <=> 1 C00005 + 1 C00080 + 1 C05758,1.3.1.- 1.3.1.10 1.3.1.104 1.3.1.39 2.3.1.85 2.3.1.86,M00083,K00208 K00665 K00668 K07512 K10780,rn00061 rn01100 rn01212,RC00001__C00005_C00006 RC00052__C05223_C05758,,,dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase,,
R04726,1 C01209 + 1 C05223 <=> 1 C00011 + 1 C00229 + 1 C05759,2.3.1.- 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86,M00083,K00647 K00665 K00667 K09458 K11533,rn00061 rn01100 rn01212,RC00039__C00229_C05223 RC02728__C05223_C05759 RC02888__C01209_C05759, 41887,,dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
R04727,1 C00001 + 1 C02998 <=> 1 C00033 + 1 C01890,3.5.1.76,,,,RC00300__C00033_C02998 RC00992__C01890_C02998, 10355,,N- acetylarylalkylamine amidohydrolase,,
R04728,1 C05229 <=> 1 C00001 + 1 C05230,4.2.1.97,,,,RC00966__C05229_C05230, 19772,,phaseollidin-hydrate hydro-lyase; 16alpha-hydroxyprogesterone hydro-lyase,,
R04729,1 C05232 <=> 1 C05329,5.1.99.4,,,,RC01206__C05232_C05329, 12660,,(2S)-2-methylacyl-CoA 2-epimerase,,
R04730,1 C00002 + 1 C00082 + 1 C05234 <=> 1 C00008 + 1 C00009 + 1 C01392,6.3.2.25,,,,RC00002__C00002_C00008 RC00064__C00082_C01392 RC00141__C01392_C05234, 17608,,alpha-tubulin:L-tyrosine ligase (ADP-forming),,
R04731,1 C00001 + 1 C05239 <=> 1 C00014 + 1 C06195,3.5.4.8,,,rn00230 rn01100,RC01207__C05239_C06195, 22351,,4-aminoimidazole aminohydrolase,,
R04732,1 C00011 + 1 C05239 <=> 1 C05516,4.1.1.-,,,rn00230 rn01100,RC00590__C05239_C05516,,,,,
R04733,1 C00075 + 1 C05250 <=> 1 C00013 + 1 C05326,2.7.7.59,,,,RC00151__C05250_C05326, 13676,,UTP:[protein-PII] uridylyltransferase,,
R04734,1 C15522 <=> 1 C00001 + 1 C00268,4.2.1.96,,K01724,rn00790 rn01100,RC01208__C00268_C15522, 11923,,4a-hydroxytetrahydrobiopterin hydro-lyase,,
R04736,1 C02837 <=> 1 C05328,5.1.1.15,,,,RC01718__C02837_C05328, 14816,,L-2-amino-hexano-6-lactam racemase,,
R04737,1 C00003 + 1 C05258 <=> 1 C00004 + 1 C00080 + 1 C05259,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K01782 K01825 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05258_C05259, 31162,,(S)-3-hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase,,
R04738,1 C05258 <=> 1 C00001 + 1 C05272,4.2.1.17 4.2.1.74,M00085 M00087,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767,rn00062 rn00071 rn01100 rn01212,RC01095__C05258_C05272, 31166,,(S)-3-hydroxyhexadecanoyl-CoA hydro-lyase,,
R04739,1 C00003 + 1 C05260 <=> 1 C00004 + 1 C05261,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K01782 K01825 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05260_C05261, 31170,,(S)-3-hydroxytetradecanoyl-CoA:NAD+ oxidoreductase,,
R04740,1 C05260 <=> 1 C00001 + 1 C05273,4.2.1.17 4.2.1.74,M00085 M00087,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767,rn00062 rn00071 rn01100 rn01212,RC01095__C05260_C05273, 31174,,(S)-3-hydroxytetradecanoyl-CoA hydro-lyase,,
R04741,1 C00003 + 1 C05262 <=> 1 C00004 + 1 C00080 + 1 C05263,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K01782 K01825 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05262_C05263, 31182,,(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase,,
R04742,1 C00024 + 1 C05274 <=> 1 C00010 + 1 C05263,2.3.1.16,M00085 M00087,K00632 K07508 K07509 K07513,rn00062 rn00071 rn01100 rn01212,RC00004__C00010_C05274 RC00326__C00024_C05263, 31186,,decanoyl-CoA:acetyl-CoA C-acyltransferase,,
R04743,1 C00003 + 1 C05264 <=> 1 C00004 + 1 C00080 + 1 C05265,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05264_C05265, 31190,,(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase,,
R04744,1 C05264 <=> 1 C00001 + 1 C05275,4.2.1.17 4.2.1.74,M00085 M00087,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767,rn00062 rn00071 rn01100 rn01212,RC01095__C05264_C05275, 31194,,(S)-hydroxydecanoyl-CoA hydro-lyase,,
R04745,1 C00003 + 1 C05266 <=> 1 C00004 + 1 C00080 + 1 C05267,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K01782 K01825 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05266_C05267, 31198,,(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase,,
R04746,1 C05266 <=> 1 C00001 + 1 C05276,4.2.1.17 4.2.1.74,M00085 M00087,K01692 K01782 K01825 K07511 K07514 K07515 K10527 K13767,rn00062 rn00071 rn01100 rn01212,RC01095__C05266_C05276, 31202,,(S)-hydroxyoctanoyl-CoA hydro-lyase,,
R04747,1 C00024 + 1 C05270 <=> 1 C00010 + 1 C05267,2.3.1.16,M00085 M00087,K00632 K07508 K07509 K07513,rn00062 rn00071 rn01100 rn01212,RC00004__C00010_C05270 RC00326__C00024_C05267, 31206,,hexanoyl-CoA:acetyl-CoA C-acyltransferase,,
R04748,1 C00003 + 1 C05268 <=> 1 C00004 + 1 C00080 + 1 C05269,1.1.1.211 1.1.1.35,M00085 M00087,K00022 K01782 K01825 K07514 K07515 K07516 K10527,rn00062 rn00071 rn01100 rn01212,RC00001__C00003_C00004 RC00029__C05268_C05269, 31146,,(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase,,
R04749,1 C05268 <=> 1 C00001 + 1 C05271,4.2.1.17 4.2.1.74,M00085 M00087,K01692 K01782 K01825 K07511 K07514 K07515 K10527,rn00062 rn00071 rn01100 rn01212,RC01095__C05268_C05271, 30550,,(S)-hydroxyhexanoyl-CoA hydro-lyase,,
R04751,1 C00016 + 1 C05270 <=> 1 C01352 + 1 C05271,1.3.3.6 1.3.8.1 1.3.8.5 1.3.8.7 1.3.8.8 1.3.99.-,M00087,K00232 K00248 K00249 K00255 K06445 K09478,rn00071 rn01100 rn01212,RC00052__C05270_C05271 RC00126__C00016_C01352, 31210,,"hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",,
R04753,1 C00006 + 1 C05274 <=> 1 C00005 + 1 C00080 + 1 C05275,1.3.1.38 1.3.1.8,M00085,K07512,rn00062 rn01100 rn01212,RC00001__C00005_C00006 RC00052__C05274_C05275,,,trans-Dec-2-enoyl-CoA reductase,,
R04754,1 C00016 + 1 C05274 <=> 1 C01352 + 1 C05275,1.3.3.6 1.3.8.7 1.3.8.8 1.3.99.-,M00087,K00232 K00249 K00255 K06445,rn00071 rn01100 rn01212,RC00052__C05274_C05275 RC00126__C00016_C01352, 28357,,"decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",,
R04756,1 C05280 <=> 1 C05279,5.3.3.8,,K01825 K07514 K07517 K13238 K13239 K18880,rn00071,RC01078__C05279_C05280,,,"cis,cis-3,6-dodecadienoyl-CoA delta3-cis-delta2-trans-isomerase",,
R04758,1 C00006 + 1 C05284 <=> 1 C00005 + 1 C00080 + 1 C05285,1.1.1.146,,K15680,rn00140,RC00001__C00005_C00006 RC00154__C05284_C05285,,,"11beta-hydroxyandrost-4-ene-3,17-dione:NADP+ 11-oxidoreductase",,
R04759,1 C00007 + 1 C03024 + 1 C05290 <=> 2 C00001 + 1 C03161 + 1 C05297,1.14.14.14,M00110,K07434,rn00140 rn01100,RC00893__C05290_C05297, 38206,"aromatase, ARO;following after R01840;subsequently R02351","19-hydroxyandrostenedione,NADPH---hemoprotein reductase:oxygen 19-oxidoreductase",,
R04760,1 C00028 + 1 C05291 <=> 1 C00030 + 1 C05296,,,,rn00140,RC00127__C05291_C05296,,,,,
R04761,1 C00007 + 1 C03024 + 1 C05294 <=> 2 C00001 + 1 C03161 + 1 C05295,1.14.14.14,,K07434,rn00140 rn01100,RC00893__C05294_C05295, 38186,"aromatase, ARO;following after R02501;subsequently R03087","19-hydroxytestosterone,NADPH---hemoprotein reductase:oxygen 19-oxidoreductase",,
R04762,1 C00019 + 1 C05298 <=> 1 C00021 + 1 C05299,2.1.1.6,,K00545,rn00140,RC00003__C00019_C00021 RC00392__C05298_C05299,,,S-adenosyl-L-methionine:2-hydroxyestrone O-methyltransferase,,
R04763,1 C00019 + 1 C01802 <=> 1 C00021 + 1 C05440,,,,,RC00003__C00019_C00021 RC01890__C01802_C05440,,incomplete reaction;multi-step reaction,,,
R04764,1 C00019 + 1 C05301 <=> 1 C00021 + 1 C05302,2.1.1.6,,K00545,rn00140,RC00003__C00019_C00021 RC00392__C05301_C05302,,,,,
R04768,1 C00007 + 1 C00080 + 1 C05316 <=> 1 C00027 + 1 C06165,1.5.3.12,,,rn00950 rn01100 rn01110,RC01204__C05316_C06165 RC02755__C00007_C00027, 11291,,dihydromacarpine:oxygen oxidoreductase,,
R04769,1 C05322 <=> 1 C00033 + 1 C06173,4.2.99.24,M00944,K01742,rn00950 rn01100 rn01110,RC00523__C00033_C05322 RC01956__C05322_C06173, 56911,The reaction occurs spontaneously when the pH is between 8-9.,salutaridinol 7-O-acetate acetate-lyase (thebaine forming),,
R04770,1 C00001 + 1 C05335 <=> 1 C00014 + 1 C00109 + 1 C05703,4.4.1.1 4.4.1.11,,K01758 K01761,rn00450 rn01100,RC01209__C00109_C05335 RC01210__C05335_C05703,,,selenomethionine methanethiol-lyase (deaminating),,
R04771,1 C00001 + 1 C00002 + 1 C05335 <=> 1 C00009 + 1 C00013 + 1 C05691,2.5.1.6,,K00789,,RC01211__C05335_C05691, 31214,"possibly intermediate (triphosphate, see [CPD:C00536])",ATP:L-selenomethione S-adenosyltransferase,,
R04772,1 C00019 + 1 C05335 <=> 1 C00021 + 1 C05690,2.1.1.12,,K08247,rn00450 rn01100,RC00003__C00019_C00021 RC01212__C05335_C05690,,,S-adenosyl-L-methionine:L-methionine S-methyltransferase,,
R04773,1 C00002 + 1 C01647 + 1 C05335 <=> 1 C00013 + 1 C00020 + 1 C05336,6.1.1.10,,K01874,rn00450 rn01100,RC00055__C01647_C05336 RC00523__C05335_C05336,,,selenomethionine:tRNAMet ligase (AMP-forming),,
R04774,1 C05335 <=> 1 C05698 + 1 C10905,,,,,RC01241__C05335_C05698,,unclear reaction,,,
R04775,1 C05335 <=> 1 C05708,,,,,RC01957__C05335_C05708,,incomplete reaction,,,
R04776,1 C00025 + 1 C05338 <=> 1 C00010 + 1 C05595,2.3.1.14,,,rn00350,RC00004__C00010_C05338 RC00064__C00025_C05595 RC02867__C05338_C05595,,,phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase,,
R04777,1 C00037 + 1 C05338 <=> 1 C00010 + 1 C05596,2.3.1.-,,,rn00350,RC00004__C00010_C05338 RC00096__C00037_C05596 RC02867__C05338_C05596,,,,,
R04779,1 C00002 + 1 C05345 <=> 1 C00008 + 1 C05378,2.7.1.11,,K00850 K16370 K21071 K24182,,RC00002__C00002_C00008 RC00017__C05345_C05378,,,ATP:D-fructose-6-phosphate 1-phosphotransferase,,
R04780,1 C00001 + 1 C05378 <=> 1 C00009 + 1 C05345,3.1.3.11,,K01086 K01622 K02446 K03841 K04041 K11532,,RC00017__C05345_C05378,,,"beta-D-fructose 1,6-bisphosphate 1-phosphohydrolase",,
R04781,1 C04115 <=> 1 C00001 + 1 C05364,4.2.1.80,,K02554,,RC01213__C04115_C05364,,,4-carboxy-4-hydroxy-2-oxoadipate hydro-lyase,,
R04782,2 C00080 + 2 C05359 + 1 C05360 <=> 1 C05361,1.18.6.1,,,,,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),,
R04783,1 C00001 + 1 C05403 <=> 1 C00221 + 1 C05394,3.2.1.23,,K01190,,RC00049__C00221_C05403,,,3-ketolactose galactohydrolase,,Same as: R06144
R04784,1 C00001 + 1 C04575 <=> 1 C00011 + 1 C05412,4.1.1.-,,,rn00040 rn00053 rn01100,RC01170__C04575_C05412,,see R04515,,,
R04785,1 C00001 + 1 C05422 <=> 1 C04575,3.1.1.17,,,rn00053 rn01100,RC00765__C04575_C05422, 70302,,L-dehydroascorbate lactonohydrolase,,
R04786,1 C00028 + 1 C05413 <=> 1 C00030 + 1 C05414,1.3.5.5,,K02293,rn00906,RC01214__C05413_C05414,,"phytoene dehydrogenase, phytoene desaturase(CrtI,Al-1,CrtP/pds)",15-cis-phytoene:plastoquinone oxidoreductase,,
R04787,1 C00028 + 1 C05414 <=> 1 C00030 + 1 C05430,1.3.5.5 1.3.99.28 1.3.99.29 1.3.99.30 1.3.99.31,,K02293 K10027 K15745,rn00906 rn01100 rn01110,RC01214__C05414_C05430, 30610,"phytoene dehydrogenase, phytoene desaturase(CrtI,Al-1,CrtP/pds)",15-cis-phytoene:acceptor oxidoreductase,,
R04789,1 C00005 + 1 C00007 + 1 C00080 + 1 C05416 <=> 1 C00001 + 1 C00006 + 1 C05417,1.14.13.-,,,,RC00001__C00005_C00006 RC00520__C05416_C05417,,Fe2+,,,
R04790,1 C00005 + 1 C00007 + 1 C00080 + 1 C05416 <=> 1 C00001 + 1 C00006 + 1 C05423,1.14.13.-,,,,RC00001__C00005_C00006 RC00520__C05416_C05423,,,,,
R04791,1 C00001 + 1 C05417 <=> 1 C05424,3.3.2.-,,,,RC01215__C05417_C05424,,,,,
R04792,1 C00001 + 1 C05418 <=> 1 C05425,3.3.2.11,,,,RC01215__C05418_C05425, 15116,,"5,6beta-epoxy-5beta-cholestan-3beta-ol hydrolase",,
R04794,1 C00001 + 1 C05423 <=> 1 C05424,3.3.2.-,,,,RC01473__C05423_C05424,,,,,
R04795,1 C02139 + 1 C05427 <=> 1 C00013 + 1 C00305 + 1 C05798,,,,rn00860,,,multi-step reaction,,,
R04798,1 C00007 + 1 C00030 + 1 C05430 <=> 2 C00001 + 1 C00028 + 1 C05431,1.3.5.6 1.3.99.26 1.3.99.28 1.3.99.30 1.3.99.31,,K00514 K10027 K15745,rn00906 rn01100 rn01110,RC01214__C05430_C05431, 30614,"zeta-carotene desaturas(CrtI,Al-1,CrtQ/Zds)","zeta-carotene,hydrogen-donor:oxygen oxidoreductase",,
R04799,2 C00007 + 2 C00030 + 1 C05430 <=> 4 C00001 + 2 C00028 + 1 C05432,,,,,RC01959__C05430_C05432,,multi-step reaction;see R04798 R04800,,,
R04800,1 C00007 + 1 C00030 + 1 C05431 <=> 2 C00001 + 1 C00028 + 1 C05432,1.3.5.6 1.3.99.26 1.3.99.30 1.3.99.31,,K00514 K10027 K15745,rn00906 rn01100 rn01110,RC01214__C05431_C05432, 30626,"zeta-carotene desaturas(CrtI,Al-1,CrtQ/Zds)","neurosporene,hydrogen-donor:oxygen oxidoreductase",,
R04801,1 C05431 <=> 1 C05434,5.5.1.19,,K06443,rn00906,RC01004__C05431_C05434, 67979,lycopene beta cyclase,carotenoid beta-end group lyase (decyclizing),,
R04803,1 C00007 + 1 C00030 + 1 C05434 <=> 2 C00001 + 1 C00028 + 1 C05435,,,,,RC01214__C05434_C05435,,"carotene 7,8-desaturase",,,
R04804,1 C05437 <=> 1 C05439,5.3.3.5,,K01824,rn00100 rn01100,RC00911__C05437_C05439,,,"delta8,24-cholestadien-3beta-ol delta7-delta8-isomerase",,
R04805,1 C00003 + 1 C05444 <=> 1 C00004 + 1 C00080 + 1 C05445,1.1.1.1,,K00001,,RC00001__C00003_C00004 RC00099__C05444_C05445,,,,,
R04806,1 C00007 + 2 C00080 + 2 C00662 + 1 C05452 <=> 1 C00001 + 2 C00667 + 1 C05444,1.14.15.15,M00104,K00488,rn00120 rn01100,RC01216__C05444_C05452,,,,,
R04807,1 C00007 + 2 C00080 + 2 C00662 + 1 C05454 <=> 1 C00001 + 2 C00667 + 1 C05446,1.14.15.15,M00104,K00488,rn00120 rn01100,RC01216__C05446_C05454, 14376,,,,
R04808,1 C05446 <=> 1 C05468,,,,rn00120,RC01614__C05446_C05468,,incomplete reaction,,,
R04809,1 C00001 + 1 C05447 <=> 1 C05448,4.2.1.107,M00104 M00862,K12405,rn00120 rn01100,RC01217__C05447_C05448,,,"(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA-forming]",,
R04810,1 C00003 + 1 C05448 <=> 1 C00004 + 1 C00080 + 1 C05449,1.1.1.-,M00104 M00862,K12405,rn00120 rn01100,RC00001__C00003_C00004 RC00089__C05448_C05449,,,"(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase",,
R04811,1 C00100 + 1 C05337 <=> 1 C00010 + 1 C05449,2.3.1.176,M00104 M00862,K08764,rn00120 rn01100,RC00004__C00010_C05337 RC00405__C00100_C05449 RC02725__C05337_C05449,,,"propanoyl-CoA:acetyl-CoA C-acyltransferase; 3alpha,7alpha-dihydroxy-5beta-cholanoyl-CoA:propanoyl-CoA; C-acyltransferase",,
R04812,1 C00003 + 1 C15614 <=> 1 C00004 + 1 C00080 + 1 C05467,1.1.1.-,M00104 M00862,K12405,rn00120 rn01100,RC00089__C05467_C15614,,,"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase",,
R04813,1 C15614 <=> 1 C00001 + 1 C05460,4.2.1.107,M00104 M00862,K12405,rn00120 rn01100,RC01217__C05460_C15614, 18936,,"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA-forming]",,
R04817,1 C00006 + 1 C05451 <=> 1 C00005 + 1 C00080 + 1 C05455,1.3.1.3,M00104,K00251,rn00120 rn01100,RC00001__C00005_C00006 RC00145__C05451_C05455,,,7alpha-hydroxy-5beta-cholestan-3-one:NADP+ delta4-oxidoreductase,,
R04818,1 C00003 + 1 C05452 <=> 1 C00004 + 1 C00080 + 1 C05451,1.1.1.50,M00104,K00037,rn00120 rn01100,RC00001__C00003_C00004 RC00144__C05451_C05452,,,"3alpha,7alpha-dihydroxy-5beta-cholestane:NAD+ oxidoreductase (B-specific)",,
R04819,1 C00006 + 1 C05452 <=> 1 C00005 + 1 C00080 + 1 C05451,1.1.1.50,M00104,K00037,rn00120 rn01100,RC00001__C00005_C00006 RC00144__C05451_C05452,,,"3alpha,7alpha-dihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific)",,
R04823,1 C00006 + 1 C05453 <=> 1 C00005 + 1 C00080 + 1 C17339,1.3.1.3,M00104,K00251,rn00120 rn01100,RC00001__C00005_C00006 RC00145__C05453_C17339,,,"7alpha,12alpha-dihydroxy-5beta-cholestan-3-one:NADP+ delta4-oxidoreductase",,
R04824,1 C00003 + 1 C05454 <=> 1 C00004 + 1 C00080 + 1 C05453,1.1.1.50,M00104,K00037,rn00120 rn01100,RC00001__C00003_C00004 RC00144__C05453_C05454,,,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestane:NAD+ oxidoreductase (B-specific)",,
R04825,1 C00006 + 1 C05454 <=> 1 C00005 + 1 C00080 + 1 C05453,1.1.1.50,M00104,K00037,rn00120 rn01100,RC00001__C00005_C00006 RC00144__C05453_C05454,,,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific)",,
R04826,1 C00007 + 1 C03024 + 1 C05455 <=> 1 C00001 + 1 C03161 + 1 C17339,1.14.14.139,M00104,K07431,rn00120 rn01100,RC01218__C05455_C17339, 46755,,"7alpha-hydroxycholest-4-en-3-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12alpha-hydroxylating)",,
R04827,1 C00030 + 1 C17339 <=> 1 C00028 + 1 C05458,1.3.99.5,,,,RC00145__C05458_C17339,,,3-oxo-5alpha-steroid:(acceptor) delta4-oxidoreductase,,
R04829,1 C00003 + 1 C05470 <=> 1 C00004 + 1 C00080 + 1 C05469,1.1.1.50,,K00037,rn00140,RC00001__C00003_C00004 RC00144__C05469_C05470,,,urocortisone:NAD+ oxidoreductase (B-specific),,
R04830,1 C00006 + 1 C05470 <=> 1 C00005 + 1 C00080 + 1 C05469,1.1.1.50,,K00037,rn00140,RC00001__C00005_C00006 RC00144__C05469_C05470,,,urocortisone:NADP+ oxidoreductase (B-specific),,
